Nh,Ns,"(2, 3)","(4, 5)",王有龄,两江,"['浙江', '巡抚', '王有龄', '，', '两江', '总督', '何桂清', '的', '升迁', '享乐', '离不开', '雪岩', '；']",胡雪岩全集（高阳）.txt
Nh,Nh,"(2, 3)","(6, 7)",王有龄,何桂清,"['浙江', '巡抚', '王有龄', '，', '两江', '总督', '何桂清', '的', '升迁', '享乐', '离不开', '雪岩', '；']",胡雪岩全集（高阳）.txt
Ns,Nh,"(4, 5)","(6, 7)",两江,何桂清,"['浙江', '巡抚', '王有龄', '，', '两江', '总督', '何桂清', '的', '升迁', '享乐', '离不开', '雪岩', '；']",胡雪岩全集（高阳）.txt
Nh,Nh,"(2, 3)","(9, 10)",左宗棠,胡雪岩,"['特别', '是', '左宗棠', '的', '器重', '与', '信任', '，', '使', '胡雪岩', '在', '官场', '的', '势力', '做到', '了', '极点', '，', '左宗棠', '金戈铁马', '在', '西北', '战场', '上', '转战', '征伐', '，', '在', '长达', '十几年', '的', '时间', '里', '，', '胡雪岩', '在', '上海', '为', '他', '转', '运输', '将', '，', '购置', '弹药', '筹借', '洋款', '，', '拨响', '运粮', '，', '经常', '是', '一夜间', '就', '获利', '巨万', '，', '他', '所', '拥有', '的', '财富', '也', '很快', '由', '白银', '数十万', '转而', '数百万', '进而', '数千万', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(34, 35)","(36, 37)",胡雪岩,上海,"['特别', '是', '左宗棠', '的', '器重', '与', '信任', '，', '使', '胡雪岩', '在', '官场', '的', '势力', '做到', '了', '极点', '，', '左宗棠', '金戈铁马', '在', '西北', '战场', '上', '转战', '征伐', '，', '在', '长达', '十几年', '的', '时间', '里', '，', '胡雪岩', '在', '上海', '为', '他', '转', '运输', '将', '，', '购置', '弹药', '筹借', '洋款', '，', '拨响', '运粮', '，', '经常', '是', '一夜间', '就', '获利', '巨万', '，', '他', '所', '拥有', '的', '财富', '也', '很快', '由', '白银', '数十万', '转而', '数百万', '进而', '数千万', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(2, 3)","(4, 5)",台湾,高阳,"['《胡雪岩全传》', '是', '台湾', '著名作家', '高阳', '先生', '的', '主要', '代表作', '之一', '，', '作者', '在', '书', '中', '叙述', '了', '胡雪岩', '一生', '的', '经历', '，', '艺术', '地', '再现', '了', '在', '近代', '中国', '半殖民地', '半封建社会', '的', '广阔', '历史背景', '下', '，', '胡雪岩', '由', '商而官', '，', '亦', '官亦商', '，', '暴起', '暴落', '的', '历史', '画面', '。']",胡雪岩全集（高阳）.txt
Ns,BOOK,"(2, 3)","(0, 1)",台湾,《胡雪岩全传》,"['《胡雪岩全传》', '是', '台湾', '著名作家', '高阳', '先生', '的', '主要', '代表作', '之一', '，', '作者', '在', '书', '中', '叙述', '了', '胡雪岩', '一生', '的', '经历', '，', '艺术', '地', '再现', '了', '在', '近代', '中国', '半殖民地', '半封建社会', '的', '广阔', '历史背景', '下', '，', '胡雪岩', '由', '商而官', '，', '亦', '官亦商', '，', '暴起', '暴落', '的', '历史', '画面', '。']",胡雪岩全集（高阳）.txt
Nh,BOOK,"(4, 5)","(0, 1)",高阳,《胡雪岩全传》,"['《胡雪岩全传》', '是', '台湾', '著名作家', '高阳', '先生', '的', '主要', '代表作', '之一', '，', '作者', '在', '书', '中', '叙述', '了', '胡雪岩', '一生', '的', '经历', '，', '艺术', '地', '再现', '了', '在', '近代', '中国', '半殖民地', '半封建社会', '的', '广阔', '历史背景', '下', '，', '胡雪岩', '由', '商而官', '，', '亦', '官亦商', '，', '暴起', '暴落', '的', '历史', '画面', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(0, 1)","(2, 3)",《胡雪岩全传》,《平步青云》,"['《胡雪岩全传》', '分为', '《平步青云》', '、', '《红顶商人》', '和', '《灯火楼台》', '三部曲', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(0, 1)","(4, 5)",《胡雪岩全传》,《红顶商人》,"['《胡雪岩全传》', '分为', '《平步青云》', '、', '《红顶商人》', '和', '《灯火楼台》', '三部曲', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(0, 1)","(6, 7)",《胡雪岩全传》,《灯火楼台》,"['《胡雪岩全传》', '分为', '《平步青云》', '、', '《红顶商人》', '和', '《灯火楼台》', '三部曲', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(2, 3)","(4, 5)",《平步青云》,《红顶商人》,"['《胡雪岩全传》', '分为', '《平步青云》', '、', '《红顶商人》', '和', '《灯火楼台》', '三部曲', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(2, 3)","(6, 7)",《平步青云》,《灯火楼台》,"['《胡雪岩全传》', '分为', '《平步青云》', '、', '《红顶商人》', '和', '《灯火楼台》', '三部曲', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(4, 5)","(6, 7)",《红顶商人》,《灯火楼台》,"['《胡雪岩全传》', '分为', '《平步青云》', '、', '《红顶商人》', '和', '《灯火楼台》', '三部曲', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(1, 2)","(5, 6)",《灯火楼台》,《灯火楼台》,"['其中', '《灯火楼台》', '又', '分为', '：', '《灯火楼台》', '、', '《萧瑟洋场》', '、', '《烟消云散》', '三个', '部分', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(1, 2)","(7, 8)",《灯火楼台》,《萧瑟洋场》,"['其中', '《灯火楼台》', '又', '分为', '：', '《灯火楼台》', '、', '《萧瑟洋场》', '、', '《烟消云散》', '三个', '部分', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(5, 6)","(7, 8)",《灯火楼台》,《萧瑟洋场》,"['其中', '《灯火楼台》', '又', '分为', '：', '《灯火楼台》', '、', '《萧瑟洋场》', '、', '《烟消云散》', '三个', '部分', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(5, 6)","(9, 10)",《灯火楼台》,《烟消云散》,"['其中', '《灯火楼台》', '又', '分为', '：', '《灯火楼台》', '、', '《萧瑟洋场》', '、', '《烟消云散》', '三个', '部分', '。']",胡雪岩全集（高阳）.txt
BOOK,BOOK,"(7, 8)","(9, 10)",《萧瑟洋场》,《烟消云散》,"['其中', '《灯火楼台》', '又', '分为', '：', '《灯火楼台》', '、', '《萧瑟洋场》', '、', '《烟消云散》', '三个', '部分', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(0, 1)","(6, 7)",胡雪岩,平步青云,"['胡雪岩', ' ', '(', '第一部', ')', ' ', '平步青云', '高', ' ', '阳', ' ', '著']",胡雪岩全集（高阳）.txt
Ns,Ni,"(2, 3)","(6, 9)",咸丰,麦加利银行,"['在', '清朝', '咸丰', '七年', '，', '英商', '麦加', '利', '银行', '设', '分行', '于', '上海', '以前', '，', '全国', '金融', '事业', '，', '为', '两个', '集团', '所', '掌握', '，', '商业', '上', '的', '术语', '称为', '“', '帮', '”', '，', '北方', '是', '山西', '帮', '，', '南方', '地宁绍', '帮', '，', '所业', '虽同', '，', '其名', '则', '异', '，', '大致', '前者', '称为', '“', '票号', '”', '，', '后者', '称', '是', '“', '钱庄', '”', '。']",胡雪岩全集（高阳）.txt
Ni,Ns,"(6, 9)","(12, 13)",麦加利银行,上海,"['在', '清朝', '咸丰', '七年', '，', '英商', '麦加', '利', '银行', '设', '分行', '于', '上海', '以前', '，', '全国', '金融', '事业', '，', '为', '两个', '集团', '所', '掌握', '，', '商业', '上', '的', '术语', '称为', '“', '帮', '”', '，', '北方', '是', '山西', '帮', '，', '南方', '地宁绍', '帮', '，', '所业', '虽同', '，', '其名', '则', '异', '，', '大致', '前者', '称为', '“', '票号', '”', '，', '后者', '称', '是', '“', '钱庄', '”', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(0, 1)","(4, 5)",山西,祁,"['山西', '帮', '又', '分为', '祁', '、', '太', '，', '平三帮', '，', '祁县', '、', '太谷', '、', '平遥', '，', '而', '始创', '票号', '者', '，', '为', '平遥', '人', '雷履泰', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(4, 5)","(10, 11)",祁,祁县,"['山西', '帮', '又', '分为', '祁', '、', '太', '，', '平三帮', '，', '祁县', '、', '太谷', '、', '平遥', '，', '而', '始创', '票号', '者', '，', '为', '平遥', '人', '雷履泰', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(10, 11)","(12, 13)",祁县,太谷,"['山西', '帮', '又', '分为', '祁', '、', '太', '，', '平三帮', '，', '祁县', '、', '太谷', '、', '平遥', '，', '而', '始创', '票号', '者', '，', '为', '平遥', '人', '雷履泰', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(10, 11)","(14, 15)",祁县,平遥,"['山西', '帮', '又', '分为', '祁', '、', '太', '，', '平三帮', '，', '祁县', '、', '太谷', '、', '平遥', '，', '而', '始创', '票号', '者', '，', '为', '平遥', '人', '雷履泰', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(12, 13)","(14, 15)",太谷,平遥,"['山西', '帮', '又', '分为', '祁', '、', '太', '，', '平三帮', '，', '祁县', '、', '太谷', '、', '平遥', '，', '而', '始创', '票号', '者', '，', '为', '平遥', '人', '雷履泰', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(4, 5)","(5, 6)",同县,李姓,"['他', '最初', '受雇', '于', '同县', '李姓', '，', '在', '天津', '主持', '一定', '颜料', '铺', '，', '招牌', '叫做', '“', '日升昌', '”', '，', '其时', '大约', '在', '乾隆', '末年', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(4, 5)","(8, 9)",同县,天津,"['他', '最初', '受雇', '于', '同县', '李姓', '，', '在', '天津', '主持', '一定', '颜料', '铺', '，', '招牌', '叫做', '“', '日升昌', '”', '，', '其时', '大约', '在', '乾隆', '末年', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(5, 6)","(8, 9)",李姓,天津,"['他', '最初', '受雇', '于', '同县', '李姓', '，', '在', '天津', '主持', '一定', '颜料', '铺', '，', '招牌', '叫做', '“', '日升昌', '”', '，', '其时', '大约', '在', '乾隆', '末年', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(0, 1)","(2, 3)",日升昌,雷履泰,"['日升昌', '在', '雷履泰', '的', '悉心照料', '之下', '，', '营业', '日盛', '，', '声誉', '日起', '，', '连', '四川', '都', '知道', '这块', '“', '金字招牌', '”', '，', '因为', '雷履泰', '经常', '入川', '采购', '铜绿', '等等', '颜料', '，', '信用', '极好', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(6, 8)","(10, 11)",长江而南,江南,"['但', '票号', '的', '势力', '不得', '越', '长江', '而南', '，', '因为', '江南', '的', '钱庄', '，', '为', '保护', '本身', '的', '利益', '，', '一方面', '仿照', '票号', '的', '成例', '，', '开办', '汇兑', '业务', '，', '一方面', '力拒', '票号', '的', '侵入', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(0, 1)","(2, 3)",钱庄,宁绍,"['钱庄', '业多为', '宁绍', '帮', '所', '经营', '，', '而', '镇江', '帮有', '后来居上', '之势', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(2, 3)","(8, 9)",宁绍,镇江,"['钱庄', '业多为', '宁绍', '帮', '所', '经营', '，', '而', '镇江', '帮有', '后来居上', '之势', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(0, 1)","(6, 7)",胡雪岩,平步青云,"['胡雪岩', ' ', '(', '第一部', ')', ' ', '平步青云', '高', ' ', '阳', ' ', '著']",胡雪岩全集（高阳）.txt
Ns,Ns,"(14, 15)","(17, 18)",浙江,杭州,"['有个', '福州人', '，', '名叫', '王有龄', '，', '他', '的', '父亲', '是', '候补', '道', '，', '分发', '浙江', '，', '在', '杭州', '一住', '数年', '，', '没有', '奉委过', '什么', '好', '差使', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(10, 11)","(16, 17)",王有龄,小胡,"['唯一', '的', '例外', '是', '个', '二十岁', '左右', '的', '少年', '，', '王有龄', '只', '知道', '他', '叫', '“', '小胡', '”', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(5, 6)","(7, 8)",王有龄,王有龄,"['他', '倒', '是', '有意', '结交', '王有龄', '，', '王有龄', '却', '以', '自惭形秽', '，', '淡淡地', '不肯', '跟', '他', '接近', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(8, 9)","(10, 11)",小胡,王有龄,"['这', '一天', '下午', '的', '茶客', '特别', '多', '，', '小胡', '跟', '王有龄', '“', '拼桌', '”', '，', '他', '去', '下', '了', '两盘', '象棋', '，', '笑嘻嘻', '走', '回来', '说', '：', '“', '王有龄', '，', '走', '，', '走', '，', '我', '请', '你', '去', '‘', '摆', '一碗', '’', '。', '”']",胡雪岩全集（高阳）.txt
Nh,Nh,"(11, 12)","(15, 16)",吴山,吴山,"['一路', '走', '到', '“', '城隍', '山', '”', '—', '—', '“', '立马', '吴山', '第一峰', '”', '的', '吴山', '，', '挑', '了', '个', '可以', '眺望', '万家灯火', '的', '空旷', '地方', '，', '一面', '喝酒', '一面', '闲谈', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(0, 1)","(6, 7)",王有龄,胡,"['王有龄', '转过', '脸来', '盯', '着', '小', '胡', '，', '仿佛', '要', '跟', '他', '吵架', '似的', '，', '“', '做生意', '要', '本钱', '，', '做官', '也', '要', '本钱', '，', '没', '本钱', '说', '什么', '？', '”']",胡雪岩全集（高阳）.txt
Nh,Nh,"(0, 1)","(5, 6)",小胡,王有龄,"['小胡', '没有', '再', '接口', '，', '王有龄', '也', '不再', '提', '，', '五百两', '银子', '不是', '小数目', '，', '小胡', '不见得', '会', '有', '，', '就', '有', '也', '不见得', '肯借', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(14, 15)","(18, 19)",王有龄,小胡,"['两人', '各有', '心事', '，', '吃', '闷酒', '无味', '，', '天', '也', '黑', '上来', '了', '，', '王有龄', '推杯', '告辞', '，', '小胡', '也', '不留', '他', '，', '只', '说', '：', '“', '明天', '下午', '，', '我', '仍旧', '在', '这里', '等', '你', '，', '你', '来', '！', '”']",胡雪岩全集（高阳）.txt
Nh,Nh,"(13, 14)","(15, 16)",王有龄,王有龄,"['走', '了', '不', '多', '几步', '，', '听见', '后面', '有人', '在', '叫', '：', '“', '王有龄', '，', '王有龄', '！', '”']",胡雪岩全集（高阳）.txt
Ns,Ns,"(7, 8)","(10, 11)",京城,大德,"['其中', '有', '一张', '三百两', '的', '，', '是', '京城', '里', '‘', '大德', '恒', '’', '的', '票子', '，', '认票', '不', '认人', '，', '你', '要', '当心', '失落', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(1, 2)","(3, 4)",雪轩,雪岩,"['“', '雪轩', '，', '雪岩', '！', '”']",胡雪岩全集（高阳）.txt
Nh,Ns,"(1, 2)","(5, 6)",王有龄,浙江,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(13, 14)","(15, 16)",常大淳,湖北,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(13, 14)","(17, 18)",常大淳,云南,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(13, 14)","(19, 20)",常大淳,黄宗汉,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(15, 16)","(17, 18)",湖北,云南,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(15, 16)","(19, 20)",湖北,黄宗汉,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(15, 16)","(21, 22)",湖北,浙江,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(17, 18)","(19, 20)",云南,黄宗汉,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(17, 18)","(21, 22)",云南,浙江,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(19, 20)","(21, 22)",黄宗汉,浙江,"['在', '王有龄', '北上', '不久', '，', '浙江', '的', '政局', '有', '了', '变化', '：', '巡抚', '常大淳', '调', '湖北', '，', '云南', '巡抚', '黄宗汉', '改调', '浙江', '，', '未', '到任', '以前', '由', '布政使', '—', '—', '通称', '“', '藩司', '”', '、', '老百姓', '尊称', '为', '“', '藩台', '”', '的', '旗人', '椿寿', '署理', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(0, 1)","(3, 4)",黄宗汉,福建,"['黄宗汉', '字寿臣', '，', '福建', '晋江人', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(28, 29)","(29, 30)",广东,叶名琛,"['他', '是', '道光', '十五年', '乙未', '正科', '的', '翰林', '，', '这一榜', '人才济济', '，', '科运', '甚隆', '，', '那年', '，', '咸丰', '二年', '，', '当', '到', '巡抚', '的', '就', '有', '三个', '，', '广东', '叶名琛', '、', '江西', '张芾', '，', '当', '到', '二品', '大员', '的', '有', '何桂清', '、', '吕贤基', '、', '彭蕴章', '、', '罗', '惇', '衍', '，', '还有', '杭州', '的', '许乃钊', '，', '与', '他', '老兄', '许乃普', '，', '都', '当', '内阁', '学士', '。']",胡雪岩全集（高阳）.txt
Ns,Ns,"(28, 29)","(31, 32)",广东,江西,"['他', '是', '道光', '十五年', '乙未', '正科', '的', '翰林', '，', '这一榜', '人才济济', '，', '科运', '甚隆', '，', '那年', '，', '咸丰', '二年', '，', '当', '到', '巡抚', '的', '就', '有', '三个', '，', '广东', '叶名琛', '、', '江西', '张芾', '，', '当', '到', '二品', '大员', '的', '有', '何桂清', '、', '吕贤基', '、', '彭蕴章', '、', '罗', '惇', '衍', '，', '还有', '杭州', '的', '许乃钊', '，', '与', '他', '老兄', '许乃普', '，', '都', '当', '内阁', '学士', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(28, 29)","(32, 33)",广东,张芾,"['他', '是', '道光', '十五年', '乙未', '正科', '的', '翰林', '，', '这一榜', '人才济济', '，', '科运', '甚隆', '，', '那年', '，', '咸丰', '二年', '，', '当', '到', '巡抚', '的', '就', '有', '三个', '，', '广东', '叶名琛', '、', '江西', '张芾', '，', '当', '到', '二品', '大员', '的', '有', '何桂清', '、', '吕贤基', '、', '彭蕴章', '、', '罗', '惇', '衍', '，', '还有', '杭州', '的', '许乃钊', '，', '与', '他', '老兄', '许乃普', '，', '都', '当', '内阁', '学士', '。']",胡雪岩全集（高阳）.txt
Nh,Ns,"(29, 30)","(31, 32)",叶名琛,江西,"['他', '是', '道光', '十五年', '乙未', '正科', '的', '翰林', '，', '这一榜', '人才济济', '，', '科运', '甚隆', '，', '那年', '，', '咸丰', '二年', '，', '当', '到', '巡抚', '的', '就', '有', '三个', '，', '广东', '叶名琛', '、', '江西', '张芾', '，', '当', '到', '二品', '大员', '的', '有', '何桂清', '、', '吕贤基', '、', '彭蕴章', '、', '罗', '惇', '衍', '，', '还有', '杭州', '的', '许乃钊', '，', '与', '他', '老兄', '许乃普', '，', '都', '当', '内阁', '学士', '。']",胡雪岩全集（高阳）.txt
Nh,Nh,"(29, 30)","(32, 33)",叶名琛,张芾,"['他', '是', '道光', '十五年', '乙未', '正科', '的', '翰林', '，', '这一榜', '人才济济', '，', '科运', '甚隆', '，', '那年', '，', '咸丰', '二年', '，', '当', '到', '巡抚', '的', '就', '有', '三个', '，', '广东', '叶名琛', '、', '江西', '张芾', '，', '当', '到', '二品', '大员', '的', '有', '何桂清', '、', '吕贤基', '、', '彭蕴章', '、', '罗', '惇', '衍', '，', '还有', '杭州', '的', '许乃钊', '，', '与', '他', '老兄', '许乃普', '，', '都', '当', '内阁', '学士', '。']",胡雪岩全集（高阳）.txt
Ns,Nh,"(31, 32)","(32, 33)",江西,张芾,"['他', '是', '道光', '十五年', '乙未', '正科', '的', '翰林', '，', '这一榜', '人才济济', '，', '科运', '甚隆', '，', '那年', '，', '咸丰', '二年', '，', '当', '到', '巡抚', '的', '就', '有', '三个', '，', '广东', '叶名琛', '、', '江西', '张芾', '，', '当', '到', '二品', '大员', '的', '有', '何桂清', '、', '吕贤基', '、', '彭蕴章', '、', '罗', '惇', '衍', '，', '还有', '杭州', '的', '许乃钊', '，', '与', '他', '老兄', '许乃普', '，', '都', '当', '内阁', '学士', '。']",胡雪岩全集（高阳）.txt
